Tm,Tm_ab,Lg,HR,W,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle
New York Yankees,NYY,AL,237,94,4,2.05,1.411,0.73,237,237,105.8,29.2,2276,89.4,89.62,0,237,0,0.19999999999998863,6.47,111,149,120,148,300,327,294,-339.8,339.8,76.7,7.7,237,237,0,0,0,237,0,0,0,0,2.22447,0.67616,0.33386,-0.09131,105.8,398,99.15611814345992,88.60759493670885,88.60759493670885,5.76,-0.9,-0.01,2.58,1,210,143.3632911,0.73,2.71,-143.3632911,0.27,0.27,1.29,0.639,0,38.9
Baltimore Orioles,BAL,AL,235,91,4,2.05,1.329,0.697,235,235,104.1,28.3,2255,88.8,89.07,0,235,0,0.29999999999999716,6.49,111,148,121,150,300,326,298,-330.3,330.3,75.3,7.3,235,235,0,0,0,235,0,0,0,0,2.30817,0.63382,0.2523,-0.12923,104.1,398,98.72340425531915,84.25531914893617,84.25531914893617,5.79,-0.86,0.03,2.48,1,198,140.5625532,0.697,2.542,-140.5625532,0.303,0.30300000000000005,1.458,0.721,0,40
Los Angeles Dodgers,LAD,NL,233,98,4,2.05,1.345,0.692,233,233,104.7,29.7,2245,88.3,88.58,0,233,0,0.29999999999999716,6.38,112,148,126,149,301,323,300,-321.9,321.9,74.7,7.6,233,233,0,0,0,233,0,0,0,0,2.37129,0.59351,0.34498,-0.16918,104.7,398,98.28326180257511,83.69098712446352,83.69098712446352,5.69,-0.78,-0.09,2.46,1,195,138.1476395,0.692,2.59,-138.1476395,0.308,0.30800000000000005,1.41,0.705,0,36.8
Atlanta Braves,ATL,NL,213,89,4,2.05,1.43,0.737,213,213,105,28.8,2240,89.2,89.58,0,213,0,0.3999999999999915,6.49,111,150,123,149,304,327,297,-292.1,292.1,75.5,7.6,213,213,0,0,0,213,0,0,0,0,2.3038,0.64222,0.3025,-0.11052,105,405,99.06103286384976,85.91549295774648,85.91549295774648,5.84,-0.69,0.06,2.51,1,183,137.113615,0.737,2.752,-137.113615,0.263,0.263,1.248,0.62,0,39.3
Arizona Diamondbacks,AZ,NL,211,89,4,2.05,1.361,0.709,211,211,104.6,28.9,2216,89.7,90.01,0,211,0,0.29999999999999716,6.43,113,148,119,148,299,324,299,-300.7,300.7,75.2,7.6,211,211,0,0,0,211,0,0,0,0,2.12716,0.74,0.36524,-0.10133,104.6,401,98.10426540284361,85.78199052132702,85.78199052132702,5.82,-0.68,-0.06,2.49,1,181,142.5184834,0.709,2.614,-142.5184834,0.291,0.29100000000000004,1.386,0.689,0,40.4
New York Mets,NYM,NL,207,89,4,2.05,1.449,0.762,207,207,105.3,27.6,2226,89.3,89.61,0,207,0,0.29999999999999716,6.5,111,150,120,149,298,324,296,-292.1,292.1,75.1,7.6,207,207,0,0,0,207,0,0,0,0,2.15524,0.76068,0.40903,-0.16058,105.3,401,99.51690821256038,93.71980676328504,93.71980676328504,5.79,-0.68,0.01,2.5,1,194,141.12657,0.762,2.767,-141.12657,0.238,0.238,1.233,0.601,0,38.4
Philadelphia Phillies,PHI,NL,198,95,4,2.05,1.339,0.698,198,198,104.2,28.8,2236,88.3,88.6,0,198,0,0.29999999999999716,6.42,114,148,123,149,296,324,294,-277.8,277.8,75.2,7.6,198,198,0,0,0,198,0,0,0,0,2.41682,0.59492,0.30406,-0.12701,104.2,398,98.48484848484848,84.84848484848484,84.84848484848484,5.86,-0.59,-0.02,2.46,1,168,140.3015152,0.698,2.564,-140.3015152,0.302,0.30200000000000005,1.436,0.711,0,39.1
Oakland Athletics,OAK,AL,196,69,4,2.05,1.409,0.742,196,196,105,27.9,2244,88.7,88.78,0,196,0,0.1,6.35,110,148,119,148,298,323,295,-272.7,272.7,75.5,7.3,196,196,0,0,0,196,0,0,0,0,2.23913,0.74615,0.36219,-0.18913,105,402,99.48979591836735,90.30612245,90.30612245,5.74,-0.93,-0.04,2.49,1,177,139.1255102,0.742,2.691,-139.1255102,0.258,0.258,1.309,0.641,0,36.5
Boston Red Sox,BOS,AL,194,81,4,2.05,1.374,0.708,194,194,104.5,29.5,2238,89.2,89.47,0,194,0,0.29999999999999716,6.41,112,148,117,149,289,322,302,-255.7,255.7,74.9,7.6,194,194,0,0,0,194,0,0,0,0,2.2251,0.67684,0.3633,-0.20907,104.5,398,98.96907216494846,86.08247422680412,86.08247422680412,5.7,-0.77,0,2.43,1,167,131.8113402,0.708,2.641,-131.8113402,0.292,0.29200000000000004,1.359,0.676,0,38.3
San Diego Padres,SD,NL,190,93,4,2.05,1.327,0.709,190,190,104.3,27.4,2245,88.8,89.04,0,190,0,0.20000000000000284,6.46,108,149,118,148,297,321,297,-265,265,75.1,7.6,190,190,0,0,0,190,0,0,0,0,2.23526,0.69342,0.32021,-0.11926,104.3,394,99.47368421052632,87.36842105263159,87.36842105263159,5.69,-0.95,-0.01,2.48,1,166,139.4678947,0.709,2.522,-139.4678947,0.291,0.29100000000000004,1.478,0.723,0,36.7
